TIMESTAMP,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
106378,7.33333,1.88767,2.37118,2.07814,1.80952,-1.09646,1.15507,-3.9243,
107566,7.33333,1.89744,2.37118,2.07814,1.81441,-1.10134,1.15018,-3.9243,
108747,7.33333,1.89744,2.37118,2.08303,1.81441,-1.11111,1.15995,-3.91941,
109927,7.33333,1.90232,2.37118,2.08303,1.81441,-1.116,1.18437,-3.91453,
111107,7.33333,1.89744,2.37118,2.07814,1.81441,-1.13065,1.15995,-3.91941,
112283,7.32845,1.90232,2.37118,2.07814,1.81441,-1.1453,1.15018,-4.08547,
113463,7.32845,1.90232,2.3663,2.08303,1.81441,-1.15507,1.16484,-3.9243,
114646,7.32845,1.91209,2.3663,2.08303,1.81441,-1.16484,1.1453,-3.9243,
115826,7.32845,1.9072,2.37118,2.08303,1.81441,-1.1746,1.1453,-3.92918,
117004,7.32845,1.91209,2.3663,2.08303,1.81441,-1.18437,1.1453,-3.9243,
118182,7.33333,1.91209,2.37118,2.08303,1.81441,-1.20391,1.1453,-3.9243,
119359,7.32845,1.91697,2.37118,2.08303,1.81441,-1.20879,1.1453,-3.9243,
120538,7.33333,1.91697,2.37118,2.08303,1.81929,-1.21856,1.1453,-3.9243,
121718,7.33333,1.92186,2.37118,2.08303,1.81929,-1.22344,1.1453,-3.91941,
122897,7.33333,1.91697,2.37118,2.08303,1.81929,-1.22833,1.1453,-3.91941,
124073,7.33333,1.91697,2.37118,2.08791,1.81929,-1.24786,1.1453,-3.91941,
125252,7.33333,1.92186,2.37118,2.08791,1.81929,-1.25763,1.1453,-3.9243,
126429,7.33822,1.92186,2.37118,2.08303,1.81929,-1.26252,1.1453,-3.92918,
127608,7.33822,1.92186,2.37118,2.08791,1.81929,-1.27228,1.1453,-3.91941,
128793,7.33822,1.92674,2.37118,2.08791,1.81929,-1.28205,1.1453,-3.91941,
129978,7.33822,1.93162,2.37118,2.08791,1.81929,-1.30159,1.15507,-3.91453,
131155,7.3431,1.93162,2.37118,2.0928,1.81929,-1.30159,1.1746,-3.91941,
132334,7.3431,1.93162,2.37118,2.08791,1.82418,-1.30159,1.15018,-3.9243,
133540,7.3431,1.93162,2.37118,2.08791,1.81929,-1.31136,1.1453,-3.92918,
134719,7.3431,1.92674,2.37118,2.0928,1.82418,-1.32601,1.14042,-3.92918,
135899,7.3431,1.92674,2.37118,2.08791,1.82418,-1.33578,1.14042,-3.92918,
137079,7.34799,1.93162,2.37118,2.0928,1.82418,-1.34066,1.15018,-3.92918,
138258,7.34799,1.92674,2.37118,2.0928,1.82418,-1.34554,1.18437,-3.9243,
139442,7.34799,1.92674,2.37118,2.0928,1.82418,-1.34554,1.1453,-3.91941,
140624,7.34799,1.92674,2.37118,2.0928,1.82418,-1.3602,1.14042,-3.9243,
141800,7.35287,1.92674,2.37118,2.0928,1.82418,-1.3602,1.13553,-3.92918,
142984,7.35287,1.93651,2.37118,2.0928,1.82418,-1.37485,1.15018,-3.91941,
144168,7.35287,1.92674,2.37118,2.0928,1.82418,-1.37485,1.13065,-3.9243,
145352,7.35287,1.91697,2.37118,2.09768,1.82418,-1.38462,1.13065,-3.9243,
146531,7.35287,1.91697,2.37118,2.0928,1.82418,-1.40904,1.13065,-3.9243,
147712,7.35775,1.92674,2.37118,2.0928,1.82418,-1.42857,1.13065,-3.92918,
148887,7.35775,1.92186,2.37118,2.09768,1.82418,-1.42369,1.13065,-3.92918,
150063,7.35775,1.91697,2.37118,2.0928,1.82906,-1.42369,1.18926,-3.9243,
151257,7.35775,1.92186,2.37118,2.09768,1.82906,-1.42369,1.13553,-3.9243,
152432,7.35775,1.92674,2.37118,2.09768,1.82906,-1.4188,1.13553,-3.92918,
153610,7.35775,1.92186,2.37118,2.09768,1.82906,-1.43346,1.15018,-3.9243,
154790,7.35775,1.91697,2.37118,2.0928,1.82906,-1.43834,1.13553,-3.91941,
155972,7.35775,1.91697,2.37118,2.09768,1.82906,-1.45299,1.13553,-3.9243,
157149,7.35775,1.91697,2.37118,2.09768,1.82906,-1.4823,1.13065,-4.09035,
158330,7.35775,1.92186,2.37118,2.09768,1.82906,-1.49695,1.13065,-3.9243,
159507,7.36264,1.91697,2.37118,2.09768,1.83394,-1.47741,1.13065,-3.9243,
160688,7.36264,1.91209,2.37118,2.09768,1.83394,-1.47253,1.13553,-3.92918,
161866,7.36264,1.91209,2.37118,2.09768,1.83394,-1.4823,1.13553,-3.92918,
163045,7.36264,1.9072,2.37118,2.09768,1.82906,-1.49695,1.13065,-3.9243,
164222,7.36264,1.91209,2.37118,2.09768,1.83394,-1.50183,1.13065,-3.9243,
165400,7.35775,1.90232,2.37118,2.10745,1.83394,-1.50183,1.14042,-3.92918,
166580,7.36264,1.9072,2.37118,2.10256,1.83394,-1.52625,1.15995,-3.9243,
167756,7.35775,1.9072,2.37118,2.10256,1.83394,-1.5409,1.13553,-3.91941,
168932,7.35775,1.9072,2.37118,2.10256,1.83394,-1.53114,1.13065,-3.9243,
170112,7.35775,1.89744,2.37118,2.10256,1.83394,-1.5409,1.13065,-3.93407,
171311,7.35775,1.89255,2.37118,2.10256,1.83394,-1.53602,1.13065,-3.9243,
172490,7.35775,1.90232,2.37118,2.10256,1.82906,-1.53114,1.13065,-3.92918,
173668,7.35775,1.89744,2.37118,2.10256,1.83883,-1.54579,1.14042,-3.9243,
174846,7.35287,1.89744,2.37118,2.10256,1.83394,-1.55556,1.15995,-3.92918,
176022,7.35287,1.89744,2.37118,2.10256,1.83394,-1.55556,1.13553,-3.9243,
177201,7.35287,1.89744,2.37118,2.10745,1.83394,-1.58486,1.12576,-3.93407,
178380,7.35287,1.90232,2.37118,2.10256,1.83394,-1.58974,1.12576,-3.9243,
179576,7.35287,1.90232,2.37118,2.10745,1.83883,-1.58974,1.12576,-3.9243,
180760,7.34799,1.90232,2.37607,2.10745,1.83883,-1.59463,1.13065,-3.92918,
181941,7.34799,1.90232,2.37118,2.10745,1.83883,-1.58974,1.12576,-4.09035,
183126,7.34799,1.90232,2.37118,2.10745,1.83883,-1.59951,1.13065,-3.92918,
184303,7.34799,1.90232,2.37118,2.10745,1.83883,-1.6044,1.13065,-3.93895,
185481,7.34799,1.9072,2.37607,2.10745,1.83883,-1.63858,1.12576,-3.92918,
186667,7.3431,1.91209,2.37118,2.10745,1.83883,-1.64347,1.12088,-3.9243,
187845,7.3431,1.9072,2.37118,2.10745,1.84371,-1.62882,1.12576,-4.09035,
189026,7.3431,1.9072,2.37118,2.11233,1.84371,-1.64347,1.12576,-3.93407,
190204,7.3431,1.9072,2.37118,2.11233,1.84371,-1.6337,1.12576,-3.9243,
191381,7.3431,1.89744,2.37118,2.11233,1.83883,-1.65812,1.12576,-3.92918,
192559,7.33822,1.90232,2.37118,2.10745,1.83883,-1.64835,1.12576,-4.09035,
193739,7.33822,1.90232,2.37118,2.11233,1.84371,-1.66789,1.12088,-3.92918,
194918,7.33822,1.90232,2.37118,2.11233,1.84371,-1.68254,1.116,-3.92918,
196095,7.33333,1.90232,2.37118,2.11233,1.84371,-1.69231,1.116,-3.93895,
197276,7.33333,1.90232,2.37118,2.11233,1.84371,-1.69719,1.12576,-3.92918,
198454,7.33333,1.9072,2.37118,2.11722,1.8486,-1.67766,1.15018,-3.9243,
199635,7.33333,1.91209,2.37118,2.11722,1.84371,-1.69231,1.13065,-3.9243,
200858,7.33333,1.90232,2.37118,2.11722,1.8486,-1.71673,1.12576,-4.09524,
202041,7.33333,1.90232,2.37118,2.11722,1.8486,-1.69719,1.13553,-3.91941,
203219,7.33333,1.9072,2.37118,2.1221,1.8486,-1.7265,1.15018,-3.92918,
204402,7.33333,1.9072,2.37118,2.11722,1.8486,-1.76557,1.12576,-3.92918,
205581,7.33333,1.9072,2.37118,2.11722,1.8486,-1.74603,1.13065,-3.93407,
206764,7.33333,1.91209,2.37118,2.11722,1.8486,-1.73626,1.16972,-3.9243,
207948,7.32845,1.91209,2.37118,2.11722,1.8486,-1.7558,1.12576,-3.93407,
209129,7.32845,1.91697,2.37118,2.11722,1.8486,-1.76557,1.12088,-3.92918,
210308,7.33333,1.91209,2.37118,2.11722,1.8486,-1.75092,1.12088,-3.9243,
211490,7.33333,1.91209,2.37118,2.11722,1.8486,-1.78022,1.13065,-3.92918,
212665,7.33333,1.92186,2.37118,2.11722,1.85348,-1.80952,1.15507,-3.92918,
213842,7.33333,1.91697,2.37118,2.1221,1.8486,-1.80952,1.13065,-3.92918,
215023,7.33333,1.92186,2.37118,2.1221,1.85348,-1.78999,1.12576,-4.10012,
216203,7.33333,1.91697,2.37118,2.1221,1.8486,-1.78022,1.12088,-3.92918,
217380,7.33333,1.92186,2.37118,2.1221,1.85348,-1.82906,1.12088,-3.9243,
218559,7.33333,1.91697,2.37118,2.1221,1.85348,-1.79976,1.12088,-3.93407,
219738,7.33822,1.92674,2.37607,2.1221,1.85348,-1.81929,1.12088,-3.93407,
220917,7.33822,1.91697,2.37118,2.12698,1.85348,-1.84371,1.12088,-4.09524,
222102,7.33822,1.92186,2.37607,2.12698,1.85348,-1.86325,1.12088,-3.93407,
223296,7.33822,1.91697,2.37118,2.12698,1.85348,-1.82418,1.12088,-3.92918,
224474,7.3431,1.92186,2.37118,2.1221,1.85348,-1.84371,1.116,-3.92918,
225651,7.3431,1.92186,2.37118,2.12698,1.85348,-1.86813,1.116,-3.93407,
226831,7.3431,1.92186,2.37607,2.12698,1.85836,-1.85348,1.11111,-3.92918,
228010,7.3431,1.91697,2.37607,2.12698,1.85836,-1.8779,1.116,-3.92918,
229195,7.34799,1.92674,2.37607,2.12698,1.85836,-1.88767,1.116,-3.93407,
230376,7.34799,1.92674,2.37118,2.12698,1.85836,-1.89255,1.116,-3.93407,
231557,7.34799,1.93162,2.37118,2.12698,1.85836,-1.90232,1.116,-3.93895,
232736,7.34799,1.92674,2.37118,2.13187,1.86325,-1.91209,1.11111,-3.93407,
233915,7.35287,1.92674,2.37118,2.13187,1.85348,-1.86813,1.11111,-3.93895,
235093,7.35287,1.92674,2.37118,2.13187,1.85836,-1.9072,1.10623,-3.93407,
236271,7.35287,1.92674,2.37118,2.13187,1.85836,-1.93651,1.10623,-4.10012,
237453,7.35287,1.92674,2.37118,2.13187,1.86325,-1.93651,1.10134,-3.93407,
238635,7.35287,1.92186,2.37118,2.13187,1.86325,-1.93162,1.13065,-3.93895,
239813,7.35775,1.92674,2.37118,2.13675,1.86325,-1.95604,1.10623,-3.93407,
241001,7.35775,1.92674,2.37118,2.13187,1.86325,-1.96093,1.10623,-3.93895,
242181,7.35775,1.92674,2.37118,2.13187,1.86325,-1.92674,1.10623,-3.92918,
243359,7.35775,1.92186,2.37607,2.13187,1.86325,-1.95116,1.10623,-3.93895,
244538,7.35775,1.92674,2.37118,2.14164,1.86325,-2,1.10134,-3.93407,
245717,7.36264,1.91697,2.37607,2.13675,1.86325,-1.97558,1.10134,-3.93895,
246900,7.36264,1.92674,2.37118,2.13675,1.86325,-1.96093,1.10134,-3.92918,
248077,7.36264,1.91697,2.37118,2.13675,1.86325,-1.99512,1.10134,-3.93407,
249260,7.36264,1.92186,2.37118,2.13675,1.86813,-2.00977,1.10134,-3.93407,
250438,7.36264,1.92186,2.37118,2.13675,1.86813,-1.96093,1.10134,-3.93407,
251614,7.36264,1.92186,2.37118,2.14164,1.86813,-2.01954,1.10134,-3.93407,
252797,7.36264,1.92186,2.37118,2.13675,1.86813,-2.0293,1.10134,-3.93895,
253975,7.36264,1.91697,2.37118,2.13675,1.86813,-2.02442,1.10134,-3.92918,
255154,7.36264,1.92186,2.37118,2.13675,1.86813,-1.99023,1.10134,-3.92918,
256331,7.36264,1.92186,2.37118,2.14164,1.86813,-2.06349,1.09646,-3.93407,
