STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
197004,8.158730,2.131868,2.761905,6.595849,-3.223669,0.119658,10.941015,1.435022,
198162,8.158730,2.131868,2.761905,6.595849,-3.243205,0.119658,10.941015,1.425410,
199316,8.163614,2.131868,2.766789,6.595849,-3.252973,0.119658,10.921791,1.425410,
200471,8.158730,2.136752,2.766789,6.600733,-3.282277,0.119658,10.921791,1.444634,
201630,8.163614,2.136752,2.766789,6.600733,-3.243205,0.119658,10.892956,1.425410,
202783,8.158730,2.136752,2.766789,6.600733,-3.257857,0.119658,10.912179,1.435022,
203942,8.158730,2.136752,2.766789,6.600733,-3.272509,0.119658,10.921791,1.425410,
205102,8.158730,2.141636,2.771673,6.600733,-3.311581,0.119658,11.248590,1.137059,
206262,8.158730,2.141636,2.771673,6.600733,-3.321349,0.119658,10.902568,1.425410,
207417,8.158730,2.146520,2.771673,6.605617,-3.326233,0.119658,10.892956,1.425410,
208573,8.158730,2.141636,2.771673,6.600733,-3.331117,0.119658,10.941015,1.435022,
209726,8.158730,2.146520,2.771673,6.605617,-3.321349,0.119658,10.950626,1.435022,
210881,8.158730,2.146520,2.771673,6.605617,-3.379957,0.119658,10.960238,1.444634,
212036,8.158730,2.146520,2.771673,6.605617,-3.345769,0.119658,10.931403,1.444634,
213192,8.158730,2.146520,2.771673,6.605617,-3.394609,0.119658,10.902568,1.425410,
214345,8.158730,2.151404,2.776557,6.605617,-3.370189,0.119658,10.864121,1.415799,
215499,8.158730,2.156288,2.776557,6.605617,-3.414145,0.119658,10.921791,1.435022,
216655,8.158730,2.151404,2.776557,6.610501,-3.409261,0.119658,10.941015,1.435022,
217807,8.158730,2.156288,2.776557,6.610501,-3.404377,0.119658,10.941015,1.435022,
218960,8.158730,2.156288,2.776557,6.610501,-3.428797,0.119658,10.941015,1.425410,
220119,8.158730,2.156288,2.776557,6.610501,-3.487405,0.119658,10.931403,1.425410,
221277,8.158730,2.161172,2.781441,6.610501,-3.443449,0.119658,10.941015,1.425410,
222437,8.158730,2.161172,2.781441,6.610501,-3.482521,0.119658,10.912179,1.425410,
223594,8.158730,2.166056,2.781441,6.615385,-3.487405,0.119658,11.229366,1.444634,
224749,8.158730,2.161172,2.781441,6.610501,-3.497173,0.119658,10.941015,1.444634,
225903,8.158730,2.166056,2.781441,6.615385,-3.477637,0.119658,10.941015,1.435022,
227058,8.158730,2.170940,2.786325,6.615385,-3.472753,0.119658,10.931403,1.425410,
228235,8.158730,2.170940,2.786325,6.615385,-3.531361,0.119658,10.931403,1.435022,
229390,8.158730,2.170940,2.786325,6.615385,-3.555781,0.119658,10.960238,1.444634,
230547,8.158730,2.170940,2.786325,6.615385,-3.521593,0.119658,10.950626,1.483081,
231734,8.158730,2.175824,2.786325,6.615385,-3.555781,0.119658,10.931403,1.435022,
232889,8.153846,2.175824,2.786325,6.615385,-3.580201,0.119658,10.931403,1.425410,
234042,8.153846,2.175824,2.786325,6.615385,-3.580201,0.119658,10.921791,1.435022,
235196,8.158730,2.180708,2.791209,6.620269,-3.570433,0.119658,10.931403,1.435022,
236351,8.158730,2.185592,2.791209,6.620269,-3.624158,0.119658,10.931403,1.435022,
237504,8.153846,2.180708,2.791209,6.620269,-3.619274,0.119658,10.950626,1.435022,
238657,8.153846,2.185592,2.791209,6.620269,-3.643694,0.119658,10.969850,1.444634,
239811,8.153846,2.190476,2.796093,6.620269,-3.643694,0.119658,10.941015,1.435022,
240963,8.153846,2.190476,2.796093,6.620269,-3.682766,0.119658,10.960238,1.435022,
242120,8.153846,2.190476,2.796093,6.625153,-3.692534,0.119658,10.931403,1.435022,
243280,8.153846,2.195360,2.796093,6.620269,-3.702302,0.119658,10.921791,1.435022,
244433,8.153846,2.195360,2.796093,6.625153,-3.663230,0.119658,10.941015,1.435022,
245586,8.153846,2.195360,2.796093,6.625153,-3.721838,0.119658,10.950626,1.435022,
246739,8.153846,2.195360,2.796093,6.625153,-3.707186,0.119658,10.998685,1.435022,
247894,8.153846,2.200244,2.800977,6.625153,-3.668114,0.119658,11.267813,1.444634,
249055,8.153846,2.200244,2.800977,6.625153,-3.746258,0.119658,10.960238,1.444634,
250212,8.153846,2.205128,2.800977,6.630037,-3.780446,0.119658,10.941015,1.435022,
251366,8.153846,2.205128,2.800977,6.625153,-3.804866,0.119658,10.998685,1.435022,
252519,8.153846,2.205128,2.800977,6.625153,-3.814634,0.119658,10.941015,1.435022,
253674,8.153846,2.210012,2.805861,6.630037,-3.853706,0.119658,11.258201,1.444634,
254834,8.153846,2.210012,2.805861,6.630037,-3.814634,0.119658,11.248590,1.444634,
255992,8.153846,2.210012,2.805861,6.630037,-3.814634,0.119658,11.325484,1.454245,
